feature_name,category,total_count,event_count,non_event_count,event_rate,woe,is_rare_bucket,is_missing_bucket,encoded_feature_name
Homeownership,Unknown,17060,540,16520,0.031652989449003514,0.01063965049117913,False,False,Homeownership_woe
BuysViaMailOrder,No,32596,1035,31561,0.03175236225303718,0.007830596121501618,False,False,BuysViaMailOrder_woe
BuysViaMailOrder,Yes,18451,598,17853,0.0324101674705978,-0.0136947039700692,False,False,BuysViaMailOrder_woe
RespondsToMailOffers,No,31821,1011,30810,0.031771471669652114,0.00719813795813796,False,False,RespondsToMailOffers_woe
RespondsToMailOffers,Yes,19226,622,18604,0.03235202330177884,-0.011807887805704817,False,False,RespondsToMailOffers_woe
OptOutMailings,No,50295,1612,48683,0.03205089969181827,-0.0016686314332385252,False,False,OptOutMailings_woe
OptOutMailings,Yes,752,21,731,0.027925531914893616,0.11782125993622598,False,False,OptOutMailings_woe
NonUSTravel,No,48168,1528,46640,0.03172230526490616,0.008959374657349339,False,False,NonUSTravel_woe
NonUSTravel,Yes,2879,105,2774,0.03647099687391455,-0.1397081485405014,False,False,NonUSTravel_woe
OwnsComputer,No,41583,1305,40278,0.03138301709833345,0.020008693284851126,False,False,OwnsComputer_woe
OwnsComputer,Yes,9464,328,9136,0.034657650042265425,-0.08372720437035219,False,False,OwnsComputer_woe
HasCreditCard,No,16544,528,16016,0.031914893617021274,0.002108889148296179,False,False,HasCreditCard_woe
HasCreditCard,Yes,34503,1105,33398,0.03202620062023592,-0.001009757911178346,False,False,HasCreditCard_woe
NewCellphoneUser,No,41223,1313,39910,0.03185115105644907,0.004721091636795785,False,False,NewCellphoneUser_woe
NewCellphoneUser,Yes,9824,320,9504,0.03257328990228013,-0.01958465210485259,False,False,NewCellphoneUser_woe
NotNewCellphoneUser,No,44012,1415,42597,0.03215032263928019,-0.004910284852896101,False,False,NotNewCellphoneUser_woe
NotNewCellphoneUser,Yes,7035,218,6817,0.030987917555081734,0.0312390747937628,False,False,NotNewCellphoneUser_woe
OwnsMotorcycle,No,50368,1615,48753,0.032064008894536214,-0.0020905419342294117,False,False,OwnsMotorcycle_woe
OwnsMotorcycle,Yes,679,18,661,0.026509572901325478,0.16751622608039513,False,False,OwnsMotorcycle_woe
HandsetPrice,10,1928,55,1873,0.028526970954356846,0.11291169668258193,False,False,HandsetPrice_woe
HandsetPrice,100,1235,34,1201,0.027530364372469637,0.1440978303404381,False,False,HandsetPrice_woe
HandsetPrice,130,2105,73,2032,0.03467933491686461,-0.08653246559559667,False,False,HandsetPrice_woe
HandsetPrice,150,4115,126,3989,0.030619684082624544,0.0449099797819893,False,False,HandsetPrice_woe
HandsetPrice,200,1266,43,1223,0.0339652448657188,-0.06955895601068354,False,False,HandsetPrice_woe
HandsetPrice,30,7328,209,7119,0.028520742358078603,0.11960013706008546,False,False,HandsetPrice_woe
HandsetPrice,40,249,9,240,0.03614457831325301,-0.17484060985945066,False,False,HandsetPrice_woe
HandsetPrice,400,46,1,45,0.021739130434782608,0.005978317049968984,False,False,HandsetPrice_woe
HandsetPrice,60,1776,66,1710,0.037162162162162164,-0.1589298440429205,False,False,HandsetPrice_woe
HandsetPrice,80,1960,58,1902,0.02959183673469388,0.07562843469925846,False,False,HandsetPrice_woe
HandsetPrice,Unknown,28982,957,28025,0.033020495479953074,-0.02972453285916182,False,False,HandsetPrice_woe
HandsetPrice,__RARE__,57,2,55,0.03508771929824561,-0.30617661192053774,True,False,HandsetPrice_woe
MadeCallToRetentionTeam,No,49302,1585,47717,0.032148797209038175,-0.004824633464690739,False,False,MadeCallToRetentionTeam_woe
MadeCallToRetentionTeam,Yes,1745,48,1697,0.027507163323782235,0.14612503609907757,False,False,MadeCallToRetentionTeam_woe
CreditRating,1-Highest,8522,268,8254,0.031448016897441915,0.01791807370415443,False,False,CreditRating_woe
CreditRating,2-High,18993,626,18367,0.03295951139893645,-0.029555494356539855,False,False,CreditRating_woe
CreditRating,3-Good,8410,265,8145,0.03151010701545779,0.015861268309380908,False,False,CreditRating_woe
CreditRating,4-Medium,5357,177,5180,0.033040881090162406,-0.03405855073851347,False,False,CreditRating_woe
CreditRating,5-Low,6499,199,6300,0.0306200953992922,0.0448252404649803,False,False,CreditRating_woe
CreditRating,6-VeryLow,1152,31,1121,0.026909722222222224,0.16469001061382618,False,False,CreditRating_woe
CreditRating,7-Lowest,2114,67,2047,0.031693472090823085,0.004502420333890893,False,False,CreditRating_woe
PrizmCode,Other,24655,848,23807,0.034394646116406406,-0.07434560265046125,False,False,PrizmCode_woe
PrizmCode,Rural,2425,64,2361,0.02639175257731959,0.19175561149006362,False,False,PrizmCode_woe
PrizmCode,Suburban,16378,502,15876,0.030650873122481378,0.044368213508528875,False,False,PrizmCode_woe
PrizmCode,Town,7589,219,7370,0.028857556990380815,0.1052571389277256,False,False,PrizmCode_woe
Occupation,Clerical,986,22,964,0.02231237322515213,0.3506450912284218,False,False,Occupation_woe
Occupation,Crafts,1519,62,1457,0.04081632653061224,-0.25813807042469583,False,False,Occupation_woe
Occupation,Homemaker,157,3,154,0.01910828025477707,0.37998169593544473,False,False,Occupation_woe
Occupation,Other,37637,1181,36456,0.031378696495469885,0.02188551947920127,False,False,Occupation_woe
Occupation,Professional,8755,294,8461,0.033580810965162765,-0.049446693150488434,False,False,Occupation_woe
Occupation,Retired,733,24,709,0.03274215552523874,-0.041562052857571495,False,False,Occupation_woe
Occupation,Self,879,36,843,0.040955631399317405,-0.26720179050941034,False,False,Occupation_woe
Occupation,Student,381,11,370,0.028871391076115485,0.06505697745994969,False,False,Occupation_woe
MaritalStatus,No,12696,409,12287,0.032214870825456834,-0.007526331817636344,False,False,MaritalStatus_woe
MaritalStatus,Unknown,19700,640,19060,0.03248730964467005,-0.01580290450402436,False,False,MaritalStatus_woe
MaritalStatus,Yes,18651,584,18067,0.031311993994960055,0.02218604926507894,False,False,MaritalStatus_woe
